character,gender,id,name
Booty Sweat Dancer (uncredited),0,1777596,Lesley Nicole Lewis
Academy Awards Attendee (uncredited),0,1777597,Fadhia Carmelle Marcelin
Agency Assistant (uncredited),0,1352677,Chad Mountain
Booty Sweat Girl (uncredited),1,1769685,Brittany Perry-Russell
Flaming Dragon Compound Person (uncredited),2,158825,Simon Rhee
Award Show Security (uncredited),0,1777599,DJ Rivers
Farm Girl (uncredited),0,1777601,Samantha Sadoff
Guerilla Guard (uncredited),0,1324448,Gaku Space
Go Go Dancer (uncredited),1,1752319,Becca Sweitzer
Academy Award Attendee (uncredited),1,1777611,Kaye Marie Talise
Red Carpet Reporter (uncredited),1,1777633,Sandra Valladares
Oscar Attendee (uncredited),1,1777634,Julie Van
Academy Awards Attendee (uncredited),1,1690900,Jobeth Wagner
Dragan Armansky,2,5725,Goran Visnjic
Young Henrik Vanger,2,6104,Julian Sands
Hans-Erik Wennerström,0,255653,Ulf Friberg
Young Harald Vanger,0,11040,Gustaf Hammarsten
Young Gustaf Morell,2,93236,David Dencik
Holger Palmgren,0,111786,Bengt C.W. Carlsson
Isabella Vanger,1,6661,Inga Landgré
Harald,0,144310,Per Myrberg
Pernilla,1,1003086,Josefin Asplund
Anna,0,592421,Eva Fritjofson
Young Anna,0,1196074,Maya Hansson-Bergqvist
Young Isabella,1,73087,Anna Björk
Young Martin,0,1153819,Simon Reithner
Young Frode,0,1269595,Anders Berg
Nilsson,0,1137324,Mats Andersson
Doctor,0,76328,Anders Jansson
Tech at MacJesus,0,1167005,Kalle Josephson
Photo Editor,1,833900,Sandra Andreis
Liv,1,66147,Arly Jover
TV Newscaster,0,108111,Tess Panzer
Greger,2,110800,Alastair Duncan
Nurse,0,1215396,Julia Rose
Hardware Clerk,2,74387,Peter Carlberg
Mildred,0,79265,Lena Strömdahl
Tech Clerk,2,94022,Matthew Wolf
Lindgren,0,1034967,Anne-Li Norberg
Junkie,0,132184,Marco Albrecht
Wennerström's Lawyer,0,931605,Fredrik Dolk
Zurich TV Reporter,0,1029217,Peter Hottinger
Spain TV Reporter,1,202875,Joyce Giraud
Book of Death Victim,0,1298382,Leah Shaw
Udevalla Detective,2,128404,George Gerdes
Murder Victim (uncredited),0,1400276,Jenifer Brougham
Hospital Visitor (uncredited),2,1011900,Laurence Fuller
Lars (uncredited),0,1178149,Henry Hereford
Karlstad Police Officer (uncredited),2,108588,Darri Ingolfsson
Flight Attendant (uncredited),0,1349942,Sahlima
Abused woman (uncredited),0,1393425,Malin Toverud
Harem Girl (uncredited),0,1548649,Denise Wessman
Lawyer,0,1611278,Lennart B. Sandelin
Joe Lambert,2,6804,Graham Greene
Chief Cobb,2,17351,Larry Bryggman
Ricky Walsh,0,141747,Anthony Peck
Targo,0,91421,Nicholas Wyman
Katya,1,45337,Sam Phillips
Charles Weiss,2,34395,Kevin Chamberlin
Officer Jane,1,141748,Sharon Washington
Dr. Schiller,0,6438,Stephen Pearlman
Dexter,0,141749,Michael Alexander Jackson
Raymond,0,83860,Aldis Hodge
Jarvis,2,21136,Michael Cristofer
Roman,2,89485,Tony Halme
Reordan,0,1270734,Oran Gurel
McMurdo,0,1121204,David Garrick
Maid,0,1156243,Kylie Hutchinson
Carriage Driver,0,1270741,John Kearney
Coach Driver,0,174524,Sebastian Abineri
Guard,0,1270742,Jonathan Gabriel Robbins
Groundskeeper,0,237767,Terry Taplin
Anonymous Man,0,1270828,Ed Tolputt
Big Man,2,1000873,Joe Egan
Young Guard,0,109322,Jefferson Hall
Police Officer,0,1270829,Marn Davies
Prison Guard,0,59082,Andrew Greenough
Man with Roses,0,63362,Ned Dennehy
Removable Man,0,1270830,Martin Ewens
Young Woman Sacrifice,0,1270831,Amanda Grace Johnson
Governor,2,1266585,James Greene
Grave Policeman,0,1270832,David Emmings
Grave Policeman,0,208451,Chris Sunley
Porter / Smith,0,1270833,Timothy O'Hara
Golden Dawn Envoy,2,974063,Guy Williams
Thug,0,1230574,Peter Miles
Man Carrying Tray of Fish in Market (uncredited),2,1034905,Jonathan Bridge
Thug (uncredited),0,1030253,Sam Creed
Frenzy Man (uncredited),0,1270834,Radu Andrei Cucu
Prison Guard (uncredited),2,1031711,James Currie
Man with Dog (uncredited),0,1270836,Jason Daly
Bishop (uncredited),0,1270837,Paul J. Dove
Photographer (uncredited),0,1270838,Neil Findlater
Dog Fighter (uncredited),0,93715,Kas Graham
Pallbearer (uncredited),0,1270839,Thomas Kadman
Fishmonger (uncredited),0,1270840,Brendan McCoy
Barman (uncredited),0,1270841,Matthew Radway
Grave Policeman,0,1058080,Ben Cartwright
Docker,2,1459592,William Atkinson
Carriage Driver,0,1123460,Tom Watt
Judah Ben-Hur,2,54738,Jack Huston
Pontius Pilate,2,90060,Pilou Asbæk
Tirzah Ben-Hur,1,515628,Sofia Black-D'Elia
Druses,0,935235,Marwan Kenzari
Simonides,2,117640,Haluk Bilginer
Peter,0,1111433,Stefano Scherini
Marcus Decimus,2,1198663,David Walmsley
Kadeem,2,94255,Francesco Scianna
Elijah,0,1434942,Gabriel Farnese
Avigail,0,1397757,Denise Tantucci
Flores,0,84706,Jarreth J. Merz
Helga Katrina Sinclair (voice),1,52300,Claudia Christian
Commander Lyle Tiberius Rourke (voice),2,16896,James Garner
Preston B. Whitmore (voice),2,4251,John Mahoney
Dr. Joshua Strongbear Sweet (voice),2,56853,Phil Morris
Vincenzo 'Vinny' Santorini (voice),2,161860,Don Novello
Audrey Rocio Ramirez (voice),1,49818,Jacqueline Obradors
Wilhelmina Bertha Packard (voice),1,84323,Florence Stanley
Young Kida (voice),0,182258,Natalie Strom
Princess 'Kida' Kidagakash (voice),1,34985,Cree Summer
Ashley Grey,1,98285,Bella Thorne
Simon (voice),2,5661,Matthew Gray Gubler
Theodore (voice),2,49915,Jesse McCartney
Eleanor (voice),1,53862,Kaley Cuoco
Samantha,1,70696,Kimberly Williams-Paisley
Brittany (voice),1,18979,Christina Applegate
Hotel Babysitter,1,54722,Laura Marano
Agent Suggs,2,25147,Tony Hale
First Class Flight Attendant,0,1456705,Jesica Ahlberg
Second Record Executive,0,1390021,Leticia Jimenez
Large Cowboy,2,1181263,Kevin Wayne
Miles,0,1552637,Josh Green
Barry,2,202958,Eddie Steeples
Party Cop #1,0,1559688,Jose D. Xuconoxtli Jr.
Party Cop #2,0,1278911,Keith Arthur Bolden
Kid,2,1559689,Jeremy Ray Taylor
Paparazzi #1,0,1559690,Mike Senior
Paparazzi #2,0,1370998,Zeeko Zaki
Ms. Price,1,38334,Jennifer Coolidge
TSA Officer,1,1332680,Uzo Aduba
Cab Coordinator,0,1559691,Derryl Rivers
Party Planner,0,75318,Retta
Man Behind Mask,0,1471841,Flula Borg
Nina Schenk Gräfin von Stauffenberg,1,23229,Carice van Houten
Albrecht Ritter Mertz von Quirnheim,2,7803,Christian Berkel
Werner von Haeften,2,40633,Jamie Parker
Captain Haans,2,53917,Danny Webb
Lieutenant-General Adolf Heusinger,0,175300,Matthew Burton
Hermann Göring,0,39846,Gerhard Haase-Hindenberg
Heinrich Himmler,0,36746,Matthias Freihof
Margarethe Van Oven,1,39847,Halina Reijn
Albert Speer,2,39848,Manfred-Anton Algrang
Ernst-John Von Freyend,2,39849,Werner Daehn
SS-Soldat im Erschießungskommando,2,16808,Matthias Schweighöfer
SS-Soldat,2,39850,Andy Gätjen
SS-Major,0,39851,Christopher Karl Hemeyer
SS-Adjutant von Henning von Tresckow,0,39852,Philipp von Schulthess
Berthold Schenk Graf von Stauffenberg,2,41276,Karl Alexander Seidel
Heimeran Schenk Graf von Stauffenberg,2,41277,Justus Kammerer
Thomas Arnold,0,28586,Frank Christian Marx
Leutnant Hans Wilhelm Hagen,0,40634,Florian Panzner
Doctor,2,141778,Tim Williams
Young Lieutenant - Desert,2,47628,Julian Morris
Zohan,2,19292,Adam Sandler
Dalia,1,59192,Emmanuelle Chriqui
Gail,1,53647,Lainie Kazan
Nasi,0,66069,Daoud Heidami
James,2,66070,Dave Matthews
Mrs. Greenhouse,1,66071,Charlotte Rae
Walbridge,2,66072,Michael Buffer
Oori,0,66073,Ido Mosseri
Kevin,2,58478,Kevin Nealon
Yosi,2,53684,Robert Smigel
Mariah Carey,1,66586,Mariah Carey
Dorit,1,1245993,Yamit Sol
Michal,1,1231206,Donna Feldman
Older Lady in Salon,1,1446841,Norma Michaels
Kids' Salon Owner,1,166976,Adria Tennor
Older Lady in Salon,1,98186,Bunny Levine
Bruce Vilanch,2,119713,Bruce Vilanch
Himself,0,215157,John McEnroe
Zohan's Mother,1,25817,Dina Doron
Zohan's Father,2,10403,Shelley Berman
Paul Mitchell,0,1288829,John Paul DeJoria
Claude,2,12224,Alec Mapa
Yitzhak,0,1375446,Ben Wise
Tom,2,5621,John Farley
Pinchas,0,1410944,Yossi Marshek
Bashir,0,54712,Mousa Kraish
Ephraim,0,1781850,Roni Levy
Levi,0,164708,Reuven Bar-Yotam
Gray Kleibolt,2,75344,Barry Livingston
Philip,0,164544,Rick Gifford
Real Estate Agent,0,1339470,Daniel Browning Smith
Doorman,2,996242,Tyler Spindel
Mariah's Assistant,1,1202531,Julia Lea Wolov
Mariah's Assistant,1,214834,Dana Goodman
Fred,2,2225,Todd Holland
Coleman,2,963297,Kevin Grady
Commander,2,1188481,Herzl Tobey
Second Commander,0,81480,Ori Pfeffer
Koby,0,1781853,Alex Luria
Avi,2,61647,Guy Oseary
Danny,0,1781854,Yinon Sapir
Sara,1,1781857,Naama Nativ
Homeless Guy,2,17494,Dennis Dugan
Exploded Shop Owner,0,1781865,Gerry Del Sol
Debbie,1,170882,Shulie Cowen
Nadira,1,1781871,Maysoon Zayid
Mrs. Skitzer,1,166671,Helen Siff
Mrs. Paulson,1,1349480,Cynthia Frost
Older Lady in Salon,1,139943,Anna Berger
Older Lady in Salon,1,170356,Susan Grace
Older Lady in Salon,1,1781883,Marjorie Loomis
Older Lady in Salon,1,179548,Carol Schlanger
Older Lady in Salon,1,1781884,Edith S. Wolfrey
Older Lady in Salon,1,170865,Phoebe Dorin
Hip Salon Receptionist,1,1241158,Lina So
Blonde at Salon,1,55269,Eloise DeJoria
Catty Hairdresser,1,126843,Vanessa Long
African American Salon Owner,0,1665045,Donielle Artese
Doctor,2,20820,Sid Ganis
Plus Size Girl at Disco,1,1781885,Laurie Meghan Phelps
DJ,0,1781886,Kenneth Greenaway
First Woman in Cab,1,1217590,Constance Barron
First Woman in Cab,1,1781887,Kristen Lowman
Second Woman in Cab,1,1212979,Penelope Windust
Second Woman in Cab,1,159669,Kathleen Noone
Angry Tall Driver,0,171642,Christopher Innvar
Truck Driver,2,1089394,Ray Garvey
Dog Owner,1,1781701,Barbara Ann Davison
Hamdi's Passenger,0,1781888,Eric Lamonsoff
Boy Customer,0,1781889,Connor Wiles
Arguing Female Customer,1,1718070,Jennifer De Minco
Walbridge's Girlfriend,1,1781891,Nicole Bennett
Pharmacist,2,111679,Edmund Lyndeck
Inaz,1,1446318,Lily Javaherpour
Hamdi's Wife (voice),1,1781892,Kristina Haddad
Phantom's Trainer,0,1781893,Larry Marko
Reporter,1,184436,Anne Marie Howard
Beach Girl,1,1652383,Veerta Motiani
Kayaker,0,1759621,Billy Concha
Disco Merchant,0,1781900,Sam Sagheb
Disco Merchant,0,1781901,Latif Marotti
Disco Merchant,0,1781902,Christian Reeve
Rabbi,0,1781903,Aesop Aquarian
Girl on Zohan's Shoulders,1,1781904,Michelle Arenal
Hot Girl in Club,1,1781905,Jordan Ashbrook
Eti,1,84261,Moran Atias
Girl at Mall,1,1539450,Ashley Ausburn
Cheerleader,1,225865,Barbara Jean Barrielle
Isreali Fan,0,1781906,Mike Basone
Fry Cook,2,109687,Mike Batayeh
Autograph Seeker #1,0,1781907,Robert Benny
Isreali Hacky Sack Coach,0,1265856,Bart Blackburn
Isreali Soldier,0,1265857,Guile Branco
Businessman,0,1781909,Lamar Brown
Isreali Dancer,1,1781910,Melanie Bulujian
Fizzy-Bubbeleh Girl,1,1781914,Monica Cabral
Times Square Crazy Man,0,1003287,Kevin Cannon
Nick,0,1781917,Nick Clark
Ribbon Cutting Girl,1,1344706,Cheryl Cosenza
Phantom's Wife,1,1781925,Rossie Cottrell
Isreali Hacky Sack Fan,0,1781937,John Dardenne
Hot Dog Vendor,0,1781938,Joseph DeLuca
Picnic Girl,1,1781941,Kendall Draughn
Electronic Store Customer,2,52274,John Duerler
Airline Terminal Passenger,0,1508666,Marshall Factora
Phantom's Wife,1,116466,Anna Garcia Williams
Phantom's Wife,0,1419587,Maite García Ribot
Disco Hip Girl,1,109425,Leslie Garza
Girl in Club,1,1094263,Jessica Mei Gershen
Waitress,1,1781963,Nikki Giavasis
Commuter,0,1781964,Ronald E. Giles
Isreali Soldier,1,1781965,Sharlene Grover
Isreali Soldier,1,1781966,Sepideh Haftgoli
Dalohan Receptionist,1,1781983,Zahra Heydari
Party Guy,0,1202533,Seth Howard
Hacky Sack Tournament Celebrity Judge,2,32895,Kevin James
Hotel Manager,0,1781984,Paul Jeans
Nightclub Bouncer,0,1781985,Todd Justin
Amir,0,1781986,Sam Kalidi
Reporter,1,1781987,Sona Karia
Vendor with No Fizzi Bubblech,2,170382,Rock Kohli
Shocked Businessman,0,1781988,Timothy Dean Lee
Go Go Dancer,1,1781989,Paula Lemes
Hot Girl / Waitress,1,1511383,Roni Meron
Cheerleader,1,1781990,Nicole Montano
Girl in Park,1,1205138,Rachel Mower
Girl in Club,1,127910,Rachael Murphy
Phantom's Wife,1,1781991,Bibiana Navas
Hacky Sack Fan,1,1781992,Christina Neferis
Street Merchant,0,1407372,Adam Ohl
Phantom's Wife,1,1781993,Dianne Perry
Redneck Posse Man #2,0,1553633,John Radcliff
The Hot Chick,1,1781994,Klavdia Ramnareine
Middle Eastern Girl,1,1585042,Sandra Rosko
Score Keeper,0,1781995,Rob Shapiro
Fan in the Crowd,2,1716163,Mikael Sharafyan
Dancer,1,1781997,Jhennah Sinclaire
Woman in Beauty Shop,1,1530055,Terrie Snell
Angry Palestinian,0,210849,Chris Spinelli
Little Boy #2,0,211429,Riley Thomas Stewart
Isreali Soldier,0,1781998,Lee Stickler
Party Goer,1,1399537,Sarah Stringer
Ruth,0,1781999,Christa Texeira
Rock-throwing Girl,1,1782000,Keana Texeira
Zeb,0,1782001,Seth Texeira
Alena,0,1782002,Sophie Texeira
Angry Palestinian,0,1782003,Ryan Phillip Thomas
Shopper,1,1782004,Gina Tleel
Cafe Customer,0,1401102,Uzimann
Disco-Tech,0,1782006,Dave Vij
Girlfriend,1,36072,Holly Weber
Salon Patron,1,1782007,Molly Weiner
Hot Dog Patron,0,1782008,Joe Van Wie
Limousine Passenger,2,31903,Henry Winkler
News Cameraman,0,80449,Mark Winn
Girlfriend,1,1086567,Saye Yabandeh
Ukrossi,0,1501572,Julius Zagon
Phantom's Best Friend,0,1782009,David Zahedian
Mrs. Haines,1,571249,Betty Murphy
Lady Lisa,1,78030,Ashley Benson
Carolyn Cooper,1,13636,Jane Krakowski
Matty,2,570775,Matthew Lintz
President's Assistant Jennifer,1,60959,Jackie Sandler
White House Reporter #1,2,166029,Dan Patrick
13-year-old Brenner,0,1496755,Anthony Ippolito
Sergeant Dylan Cohan,2,98394,Affion Crockett
Professor Iwatani,2,538687,Denis Akiyama
Defense Secretary,2,56728,Tim Herlihy
White House Junior Aide Jared,0,60961,Jared Sandler
Navy Secretary,2,67520,William S. Taylor
CIA Chief,2,92777,Tucker Smallwood
Serena Willams,0,1214573,Serena Williams
Martha Stewart,1,1218610,Martha Stewart
Abusive Citizen,2,20818,Allen Covert
Seal,0,1024492,Rob Archer
Boy on London Street,2,1260011,Jack Fulton
Lemonadie Sadie,0,1202534,Sadie Sandler
Cyber Chick #1,0,1522344,Bridget Graham
Cyber Chick #2,1,1522345,Jocelyn Hudon
New Reporter,0,1129795,Annika Pergament
NY Police Commissioner,2,166489,Bill Lake
Colonel Devereux,0,1123418,Mark Whelan
Sweet Scout Girl,0,1271681,Sunny Sandler
Arcader Choir Girl,0,1683830,Hannah Covert
Soccer Player,2,1627370,Chris Titone
Classroom Scout Girl,0,1683831,Abigail Covert
Classroom Scout Girl,0,1683833,Sienna James
Classroom Scout Girl,0,1683834,Shea James
White House Gate Guard,0,58477,Jonathan Loughran
Electric Dream Factory Repairman,0,1683836,Toru Iwatani
13-Year Old Cooper,0,1683838,Jared Riley
13-Year Old Eddie,0,1683839,Andrew Bambridge
8-Year Old Ludlow,0,1683840,Jacob Shinder
Old Woman in London Apartment,0,1673617,Margaret Killingbeck
Indian Teenage Boy,0,1252850,Ron Mustafaa
Indian Teenage Girl,0,1683842,Meher Pavri
Seal,2,1683843,Lamont James
Seal,2,1084758,James Preston Rogers
Seal,0,1683845,Bola Olubowale
Fighter Pilot,2,1683847,Mark Sparks
DARPA Scientist,0,76112,Steve Wiebe
TV News Anchor,1,1683850,Sara Haines
Secret Service Man,0,1683851,Derwin Philips
Secret Service Man,0,168625,Michael Boisvert
Abusive Citizen,0,1683856,Colleen Reynolds
Abusive Citizen,0,1481021,Jimi Shlag
Abusive Citizen,0,1683857,Emily Jenkins
Sergeant Cohan's Mother,0,1461424,Sistah Lois
Arcade Employee,0,1683858,Andrew McMichael
DC Valet,0,1683859,Gary Douglas
Warden,0,1683860,Eric Trask
Press Person,0,1683862,Susie McLean
Daryl Hall,0,181408,Daryl Hall
John Oates,0,1332369,John Oates
Additional Character Voice (voice),2,23679,Billy West
Additional Character Voice (voice),0,1302231,Holly Beavon
Lab Technician,0,1639966,Dave Reachill
David,2,9640,Haley Joel Osment
Henry Swinton,2,8213,Sam Robards
Martin Swinton,2,9641,Jake Thomas
Blue Mecha (voice),1,5064,Meryl Streep
Supernerd,2,60633,Kevin Sussman
Supernerd,2,1004155,Eugene Osment
Executive,2,35521,Matt Winston
Sheila,1,142736,Sabrina Grdevich
Todd,0,167195,Theo Greenly
Dr. Frazier at Cryogenic Institute,2,91030,Michael Mantell
Backstage Bull,2,1214402,Brian Turk
Master Gracey,2,27631,Nathaniel Parker
Sara Evers,1,36219,Marsha Thomason
Emma,0,56567,Dina Spybey-Waters
Mr. Silverman,2,56576,Steve Hytner
Megan,0,1430209,Aree Davis
Mrs. Silverman,1,89500,Heather Juergensen
Hitchhiking Ghost,0,1015053,Clayton Martinez
Tiki Lounge Customer,1,962026,Bridget Brno
Tiki Lounge Customer,2,68436,Gregg London
Boy on Bicycle,0,1594136,Zach Minkoff
The Singing Busts,0,943864,Shelby Grimm
The Singing Busts,0,1594137,Harry J. Campbell
The Singing Busts,0,1594138,William T. Lewis
The Singing Busts,0,1594139,Tim Reeder
The Singing Busts,0,1594140,Bob Hartley
David Drumlin,2,4139,Tom Skerritt
Fisher,2,148122,Geoffrey Blake
Richard Rank,2,2879,Rob Lowe
Vernon,0,1638916,Sami Chester
Minister,2,131120,Henry Strozier
Drumlin Aide,0,163029,Haynes Brooke
Davio,2,169643,Timothy McNeil
Cantina Woman,1,1808892,Laura Elena Surillo
Hadden Suit,0,1808893,Michael Chaban
Ian Broderick,0,582833,Thomas Garner 
KOB-TV Reporter,0,1808895,Conroy Chino
Jeremy Roth,0,1235841,Dan Gifford
Senator Valencia,0,1569118,Vance Valencia
Herself,1,1808899,Donna Kelley
Himself,0,1808909,Leon Harris
Herself,1,1808910,Claire Shipman
Middle Eastern Anchor,0,1170974,Behrooz Afrakhan
Japanese Anchor,1,16146,Saemi Nakamura
Latina Anchor,1,556903,Maria Celeste Arraras
Herself,1,1244752,Tabitha Soren
Himself,2,1215560,Geraldo Rivera
British Anchor,0,219237,Ian Whitcomb
Himself,2,14991,Jay Leno
Decryption Hacker,0,133593,Michael Albala
Decryption Expert,0,1808922,Ned Netterville
Major Domo,0,188274,Leo Lee
Chairman of Joint Chiefs,2,101975,William Jordan
Joint Chief,2,1598,David St. James
Major Russell's Son,0,1808925,Alexander Zemeckis
Major Russell's Daughter,1,1808926,Janie Peterson
Dr. Patel,1,58629,Jennifer Balgobin
British Committee Member,0,1808930,Anthony Hamilton
NASA Public Relations,1,1808931,Rebecca T. Beucler
NASA Technician,2,6908,Marc Macaulay
Mechnical,0,1798163,Jeffery Thomas Johnson
Dynamics,0,1114940,Gerry Griffin
Communications,0,1808933,Brian Alston
Pad Leader,2,75317,Rob Elk
Security,0,1530544,Mark Thomason
Controller #8,0,1808934,José Rey
New VLA Technician,0,1808935,Todd Patrick Breaugh
Russian Cosmonaut,2,20563,Alex Veadov
Scientist,1,1808936,Alice Kushida
Project Official,2,70440,Robin Gammell
Mission Doctor,2,1733407,Richardson Morse
Japanese Ensign,0,1808937,Seiji Okamura
Japanese Tech #1,0,152783,Mak Takano
Japanese Tech #2,0,1808938,Hiroshi Tom Tanaka
Life Support,1,106734,Catherine Dao
Dynamics #2,0,173784,Kristoffer Ryan Winters
Senator,1,64033,Valorie Armstrong
Reporter #5,0,1808939,Jim Hild
Reporter #6,0,1605510,William L. Thomas
School Boy,0,1808940,Diego Montoya
White House Official,0,1808941,Jonathan Adler
NASA Controller #2,0,1808942,Robert Aguilar Jr.
Four-Star General,0,1808944,Mark Bailey
Senate Observer,0,1808945,Matt Bennett
Robert Hand,0,1452279,Tony Boldi
Protester,0,1808946,Mark Byrne
Supporter,1,1609292,Candice T. Cain
President's Secretery,0,1808947,Aixa Clemente
Ailing Believer,0,1454081,Derrick Damions
Philanthropy Bureaucrat,1,1808948,Elaina Erika Davis
Factory Worker,0,1808949,Joey Dente
IMC Police Officer,0,1808950,Michael Egan
Monk,0,1808951,Jeff Elmore
Pedestrian,1,1752222,Pamela Fischer
Controller,2,155308,Carl Gilliard
TV Interviewer,0,55227,William B. Kaplan
Pod Systems Control,2,945062,Ming Lo
Puerto Rican Taxi Driver,0,1424827,Sunshine Logroño
Press Secretary,1,160399,Denise Loveday
Kitz's Aide,2,155456,Neal Matarazzo
Student Reporter at NASA,1,1808953,Cassidy McMillan
Family Exchange,1,1808954,Molly Mueller
Ellie's Attorney,0,1296511,Paul L. Nolan
Oval Office Secretary,1,58742,Marisa Petroro
Police Officer,1,1808956,Errica Poindexter
Senator,0,1352413,J.A. Preston
Ailing Believer,0,1808957,Frank Principe
Ailing Believer,0,1114167,Leo Rogstad
Photographer,0,1354453,Russell Sanderlin Sr.
Army Officer,0,1808959,Frank Silva
Senate Hearing Attendee,0,1808960,John A. Taylor
News Reporter,0,1808962,Todd Thompson
Reporter,0,1314544,Cenk Uygur
Religious Zealot,1,1808159,Holly Cross Vagley
Protester,2,1720797,Eric Alan Wendell
Believer,0,116515,Delaney Williams
Linda McKay,1,1951,Elisabeth Shue
Sarah Kennedy,1,21165,Kim Dickens
Sebastian's Neighbor,1,25702,Rhona Mitra
Frank Chase,2,9998,Joey Slotnick
Janice Walton,0,1218108,Mary Randle
"Ed, Warehouse Guard",2,64515,Pablo Espinosa
Marcus,2,2248,Michael Wright
Simon Broome,2,2251,Hugo Speer
Mo,2,2252,Maz Jobrani
Doug,2,2253,Yusuf Gatewood
Ajene Xola,2,2254,Curtiss Cook
Jean Gamba,2,2255,Byron Utley
G.A. President,0,162500,Vladimir Bibic
Charlie Russell,2,22821,David Zayas
News Reporter,0,1778209,Margot Staub
Clarisse La Rue,1,207401,Leven Rambin
Chris Rodriguez,2,130769,Grey Damon
Thalia Grace,0,1257753,Paloma Kwiatkowski
Chiron,2,34257,Anthony Stewart Head
Young Annabeth,1,1272883,Alisha Newton
Young Grover,0,1272884,Bjorn Yearwood
Young Luke,0,1272885,Samuel Braun
Young Thalia,1,116416,Katelyn Mager
Sean,2,1844,Til Schweiger
Chen Lo,2,20519,Simon Yam
Nicholas Petraki,0,19875,Daniel Caltagirone
Jimmy Petraki,0,20520,Fabiano Martell
MI6 Agent Calloway,2,20523,Ronan Vibert
Gus Petraki,2,1323612,Jonny Coyne
Jack Wilder,2,54697,Dave Franco
Lula,1,51988,Lizzy Caplan
Natalie Austin,1,5411,Sanaa Lathan
Zoey Taylor,1,84227,Justine Wachsberger
Owen Case,2,1173231,Ben Lamb
Green Umbrella Girl,1,1626067,Amber Elizabeth
New Year's Eve Reveller,1,1547894,Judit Novotnik
Agent 2 UK,1,1360202,Alexa Brown
Young Dylan,0,1743032,William Henderson
Chase McKinney,0,1646788,Brick Patrick
Hannes Pike,0,1743493,Zach Gerard
Lab Tech,0,1639121,Fenfen Huang
Head Security Guard,0,1743494,Aaron Ly
Case Advisor,0,1507487,Cyd Casados
Agent Dore,0,1743495,Jem Wilner
Agent UK,2,1665010,James Richard Marshall
Prison Guard 2 (US),0,114017,Karl McMillan
Eye (voice),2,1225592,Jim Pirri
Chef,0,1743497,Christopher Logan
Tressler Assitant,1,1071127,Varada Sethu
Prison Guard US,0,1743498,Michael Walters
Octa Guard,0,1743499,Simon Connolly
Octa Guard,0,1743500,Dino Fetscher
Bo Walsh,0,213929,Martin Delaney
Disappearing Lady 1,1,1743501,Nichole Bird
Disappearing Lady 2,1,1743502,Danielle Bird
Jack Stooge 1A,0,1172388,Michael Cooke
Jack Stooge 1B,0,1743503,John Cooke
Jack Stooge 2A,0,1743504,Greg McKenzie
Jack Stooge 2B,0,1743505,Michael McKenzie
Science Lab Guard,0,1743506,Tai Yin Chan
Science Lab Guard 2,0,1743508,Bruce Chong
Case Assistant,1,1743509,Missy Malek
Casino Dancer,1,1426658,Jessica Lee Keller
Casino Dancer,2,1743515,Krysada Phounsiri
Casino Dancer,0,1148762,Luis Rosado
Street Drummer,0,1743518,Karl Hussain
Herself,0,588556,Savannah Guthrie
Student (uncredited),0,1663441,Emmanuel Akwafo
New Years Eve reveller (uncredited),1,1743520,Mairead Armstrong
New Year's Eve Reveller (uncredited),0,1663439,Raj Awasti
Business Guest (uncredited),0,1504807,David Olawale Ayinde
Party Girl (uncredited),1,1496276,Gia Marie Barbera
Party Goer (uncredited),0,1359426,Paul Blackwell
New Years Eve Crowd (uncredited),1,1743575,Annarie Boor
Demonstrator (uncredited),0,1743576,Greg Brummel
Spectator (uncredited),0,1743577,David Burge
Spectator (uncredited),0,1743578,Perry Burke
New Year's Eve Guest (uncredited),1,1743579,Leona Carlo
New Year's Eve Reveller (uncredited),0,1743580,Richard Clark
New Year's Eve Reveller (uncredited),0,1502439,Bern Collaco
New Year's Eve Reveller (uncredited),1,1147918,Pamela Betsy Cooper
Eye Magician (uncredited),0,1743581,Tim Dayman
New Year's Eve Crowd Member (uncredited),0,1743583,Cameron Edwards
Pedestrian #1 (uncredited),0,1743585,Don Sebastian Fula
FBI Agent (uncredited),0,1743587,Jesse Michael Fullington
NYE Party Boy (uncredited),0,1743588,Alexander Furno
FBI Agent (uncredited),0,1743589,Kevin Fyfe
TV Lead Camera Crew Member (uncredited),0,1743590,Don Gayle
New Years Eve Reveller (uncredited),1,1743591,Gemma George
Stage Crew (uncredited),0,1743593,David Georgiou
New Year's Eve Reveller (uncredited),1,1495607,Claire Greasley
Shrike TV Crew (uncredited),0,1565074,Mark Haldor
Tressler's Assistant (uncredited),1,1743594,Jane Hardcastle
New York State Police Officer (uncredited),0,578690,Lee Nicholas Harris
OCTA Staff Manager (uncredited),0,1147920,Richard Herdman
Photographer (uncredited),1,1674664,Vera Horton
New Year's Eve Reveller (uncredited),0,1651393,Ty Hurley
TV Camera Man / Stage Crew (uncredited),0,1743615,Oliver Jolliffe
Hannes Attractive Woman (uncredited),1,1743616,Zoey Callandria Jones
Special Guest Official (uncredited),1,1744070,Vivien Kent
Guest at Tech Show (uncredited),0,1663430,Paul Kerry
New Year's Eve Pedestrian (uncredited),1,1744071,Irina Klimovich
New Year's Eve Reveller (uncredited),1,1744072,Nina Kumar
Macau VIP Guest (uncredited),1,1744073,Candice Lam
Goth Girl (uncredited),1,1744075,Kim-Anh Le-Pham
Goth Girl (uncredited),1,1744076,Rogers Leona
